Balance,BonusMiles,BonusTrans,DaysSinceEnroll,FlightMiles,FlightTrans
48296,31329,9,3061,500,1
10021,0,0,7879,0,0
49280,22370,16,3312,0,0
213539,2750,15,4751,0,0
125465,14750,9,7206,0,0
7698,0,0,1734,0,0
201259,40755,34,3398,0,0
350608,50988,26,3630,2643,5
146232,83783,19,3566,375,1
2080,0,0,4635,0,0
93971,62023,22,4580,450,3
20999,15914,13,6206,0,0
15832,8130,20,1698,500,1
207021,3600,4,5412,100,1
31504,7358,2,1022,0,0
27619,83726,68,1325,14050,46
63454,49068,13,5383,0,0
25634,0,0,5663,0,0
83217,3679,4,2447,0,0
172110,21382,23,5944,950,3
50848,0,0,1773,0,0
31319,7552,5,5912,0,0
35557,350,3,1135,0,0
13188,1500,3,1955,1500,3
11449,24415,11,5864,0,0
7535,18487,20,1678,0,0
112345,36640,14,1669,0,0
177232,14787,13,3137,0,0
11494,8425,15,5487,4700,11
37997,11073,5,2805,0,0
2701,5000,10,8002,0,0
31211,280,4,6330,100,1
43498,0,0,6759,0,0
66572,8048,14,6240,450,2
16962,0,0,2206,0,0
7630,220,3,3403,0,0
39956,0,0,3206,0,0
130748,65510,37,1545,6349,7
200963,6164,4,4782,150,1
225802,74340,16,8296,200,2
94896,38127,15,5602,500,1
5351,100,1,6450,0,0
43088,4000,1,7345,0,0
37833,48172,15,3551,500,1
147770,64517,31,1831,450,4
66015,26706,30,5790,2676,7
9396,860,5,3588,350,2
73159,358,4,3237,358,4
23529,500,1,8296,0,0
5110,0,0,2901,0,0
3919,500,1,1591,0,0
37162,0,0,6241,0,0
68963,37723,15,8296,0,0
137760,64949,13,2580,0,0
47764,23122,11,1872,400,1
178010,5500,4,2777,500,1
54950,30500,9,450,0,0
9430,11323,13,5756,0,0
3065,0,0,87,0,0
37569,3850,4,1597,250,1
455228,258,2,7141,258,2
35900,0,0,7304,0,0
89094,55865,13,2404,0,0
11875,3625,22,1408,0,0
43338,1000,4,4275,1000,4
47090,0,0,3726,0,0
21540,1188,9,4791,0,0
26367,19649,15,5874,0,0
38508,13523,13,3279,0,0
33554,27410,16,6428,350,1
108100,45113,17,4699,1000,2
62907,3200,3,1431,200,1
4751,0,0,334,0,0
29754,500,1,2655,0,0
157416,67795,16,5132,0,0
34690,18124,14,5752,0,0
83276,22539,8,3424,650,2
77753,12483,13,2377,0,0
18266,12254,15,3713,0,0
26797,0,0,1928,0,0
80154,47270,14,4352,0,0
10758,0,0,1777,0,0
15219,0,0,6427,0,0
11690,17615,17,4417,0,0
34428,2625,10,5938,0,0
1054,15147,3,3133,0,0
128620,7747,12,3789,0,0
46734,10007,18,5080,0,0
51468,2278,9,7460,0,0
2250,1750,7,817,0,0
97535,0,0,2418,0,0
119340,400,5,3855,400,5
41150,0,0,2000,0,0
88500,2500,2,5090,0,0
103809,16776,14,3699,0,0
29182,3517,18,1404,642,2
3110,1100,2,345,0,0
196922,40170,18,3755,0,0
28693,8229,20,1937,0,0
38021,5538,9,6407,0,0
89876,51620,17,1739,0,0
22215,2375,12,1857,0,0
7375,2750,13,714,0,0
121853,18120,18,5589,2000,4
362642,28079,8,6835,0,0
63311,29318,11,4667,0,0
146014,26366,17,5822,700,3
37212,0,0,2455,0,0
56635,1024,8,8296,359,2
282971,5780,16,2192,300,3
72178,2100,10,5139,0,0
95305,3189,13,7054,0,0
20207,3033,12,3370,0,0
37926,25153,7,5845,0,0
37114,21623,12,4040,0,0
1511,2250,11,5051,0,0
93371,55338,20,3382,0,0
251286,0,0,8289,0,0
81960,37072,22,6326,700,7
46545,0,0,5066,0,0
173543,92752,25,6329,0,0
704113,98119,23,3082,0,0
113113,10736,13,4307,0,0
212051,76256,23,5523,2993,6
28294,0,0,1865,0,0
10288,1250,3,5532,0,0
98895,89709,17,3854,500,1
21101,7171,32,5839,0,0
46882,0,0,3701,0,0
33560,2600,14,4604,0,0
124837,4400,7,2053,1500,5
12713,0,0,3077,0,0
9805,4403,11,1559,0,0
25530,25131,17,3677,0,0
82497,0,0,3565,0,0
6705,600,2,507,0,0
233057,102840,11,4791,0,0
11361,3375,20,1367,0,0
253349,68947,18,4545,1000,2
384470,20468,16,6280,0,0
23854,22498,18,4274,250,3
2627,0,0,25,0,0
52562,23773,15,3021,600,2
142152,19464,13,3088,0,0
24545,0,0,5671,0,0
4500,1500,5,1033,0,0
80331,15489,18,7634,0,0
94272,11098,16,5121,0,0
35546,3376,10,3739,0,0
7730,375,3,4659,0,0
17818,0,0,1709,0,0
81300,3750,5,5791,250,3
5583,3147,14,5365,0,0
112969,7572,7,7192,0,0
16465,16165,5,1631,0,0
25676,0,0,1597,0,0
74531,10914,17,3456,750,3
44182,12313,12,7619,0,0
12465,380,3,4162,0,0
185681,13300,16,6896,1800,9
109087,10462,16,8296,0,0
3350,65,3,3540,0,0
36644,14506,13,5583,0,0
23033,7910,15,2765,0,0
6628,2125,8,2539,0,0
41967,2125,10,6247,0,0
1724,27305,20,1784,0,0
77097,42403,22,6683,1718,4
31784,350,1,1604,350,1
169947,48140,21,4895,0,0
52423,26926,13,6611,0,0
38439,3318,13,3886,0,0
1076,11379,8,4233,0,0
5375,1375,11,1396,0,0
117670,53043,19,6505,550,1
160703,32560,12,6666,0,0
28446,0,0,1920,0,0
290012,64360,18,5931,650,2
86143,29652,11,4317,500,1
59151,11110,13,1636,0,0
472241,3600,12,5045,3500,11
95207,30652,30,5531,2348,8
18944,300,3,3932,300,3
130364,62083,15,5213,250,1
15732,6875,33,666,0,0
112843,16137,14,6472,0,0
55064,8041,13,3329,0,0
131366,1500,2,1999,500,1
131125,4993,11,1443,50,1
640169,82561,36,3895,400,2
29067,485,3,2147,250,1
8725,5600,14,1426,0,0
30040,8636,8,3873,500,1
34651,4000,6,6157,500,1
199956,0,0,8296,0,0
34450,26996,7,5566,0,0
88563,42410,27,2567,0,0
86011,31769,18,5381,0,0
39418,700,3,2343,200,2
259484,19172,26,6723,7172,23
134318,333,3,3488,258,1
177785,77203,15,1251,0,0
242018,3050,3,3218,550,2
124564,11026,13,3840,0,0
18939,855,3,3216,0,0
77067,40129,15,3671,0,0
15496,0,0,6324,0,0
9753,1235,3,4343,0,0
13034,60000,6,4169,0,0
18088,16697,6,501,0,0
61450,7927,10,4383,0,0
28319,18449,13,4392,0,0
89742,39073,13,6498,0,0
82981,105325,44,3964,1000,2
45916,675,6,2818,500,2
59552,7551,22,6473,0,0
2125,625,5,1248,0,0
146086,6950,17,5345,6950,17
188883,5500,3,2613,0,0
298927,69449,27,2047,150,3
5617,4400,4,4706,400,1
33129,30775,14,5647,500,1
7591,0,0,926,0,0
4490,0,0,107,0,0
126873,95598,32,3880,500,1
59990,27878,17,7854,0,0
8811,600,5,2032,0,0
3487,710,1,6059,0,0
59821,4200,4,4419,200,2
31611,4030,12,1457,0,0
40965,9850,11,5429,1850,6
54125,48874,17,6463,450,3
35425,4125,19,3834,0,0
4923,305,2,2985,0,0
1000,1000,1,1970,0,0
194906,23780,14,3880,200,1
7138,0,0,293,0,0
36936,2875,16,5492,0,0
57857,62650,37,4996,12400,29
30893,0,0,3623,0,0
193976,10849,14,7416,0,0
64138,22089,19,3257,0,0
55404,10613,15,3531,500,1
133143,43643,14,6385,50,1
11189,9044,20,8296,0,0
11324,11082,11,2661,0,0
60049,0,0,4278,0,0
63090,12059,20,4231,350,3
41385,26948,14,7481,0,0
78231,19182,13,3102,0,0
34464,5312,5,2886,0,0
11604,95,2,4177,0,0
77523,11050,5,4274,1000,2
62960,50255,10,1824,0,0
24008,540,3,4901,0,0
78305,130,3,2580,0,0
10458,10458,12,3726,0,0
166470,9574,16,4194,0,0
15624,0,0,1634,0,0
43823,500,1,2717,0,0
19078,200,1,1999,200,1
20603,115,5,3054,0,0
75505,30850,17,4007,500,1
35997,71171,19,6088,900,5
771,13160,4,1601,0,0
115533,8867,15,5968,0,0
132132,20443,18,3916,1310,4
38411,500,1,3190,500,1
216498,43083,24,4440,2500,5
11821,10697,10,6387,0,0
402312,77122,18,7375,250,3
52537,49146,19,1944,100,2
12791,0,0,4246,0,0
37300,23760,19,676,0,0
51737,3119,19,1774,0,0
14791,23956,26,2689,300,2
225665,4288,15,4048,500,1
33834,3920,12,1850,0,0
42420,1000,1,4461,0,0
28480,2644,6,2628,0,0
68255,19077,22,6130,400,2
93264,3250,19,2369,0,0
26173,305,1,1418,0,0
24292,6558,10,5276,0,0
62589,10000,4,2803,0,0
34294,17683,14,2661,0,0
44206,22598,14,2247,500,1
87507,17714,19,3274,0,0
85412,25102,16,2816,500,1
138008,34178,14,2962,200,1
104307,51769,24,6197,450,1
39909,2682,14,4470,0,0
20516,3500,20,1429,0,0
26204,4030,6,5989,2930,4
48224,0,0,2888,0,0
14952,250,1,3099,250,1
714717,119162,20,7183,1750,4
62903,16434,13,3732,0,0
71543,0,0,6305,0,0
8767,6589,8,4394,3892,6
46030,4375,27,4566,0,0
41072,3751,15,2378,0,0
137402,950,6,4685,200,3
53384,16907,12,5778,0,0
48577,34224,16,2794,0,0
75039,2750,10,7435,250,1
39601,4066,12,5434,0,0
500,500,1,493,0,0
500,125,1,1355,0,0
114932,3150,13,6092,1650,12
182704,5850,12,3820,3100,10
68243,10012,22,3888,903,3
16936,14970,2,580,0,0
63331,4200,4,2060,700,2
1703,1230,4,4390,0,0
64280,21721,18,6280,0,0
17684,93,1,2012,0,0
301447,63866,18,6004,500,1
404,550,3,1418,0,0
152284,77045,38,4996,1648,10
72510,31469,12,4169,0,0
43000,1273,4,4646,173,1
60493,9000,1,8289,0,0
45432,12833,15,1322,0,0
27488,23927,21,2273,0,0
12153,1050,9,2041,1050,9
405499,72318,46,2329,9729,29
36227,7230,14,3736,0,0
12264,0,0,267,0,0
30664,21242,22,4268,700,5
82528,2100,5,8228,600,4
49438,33912,14,5085,0,0
67948,2750,5,4226,650,3
240904,63385,22,5045,350,1
3834,500,1,524,0,0
28223,8625,12,5651,0,0
156230,5300,8,7260,1300,5
84785,4570,14,6514,0,0
71767,67335,13,7570,0,0
51353,8114,16,2637,2004,10
79333,1500,3,2977,1500,3
18601,5899,12,1600,0,0
352508,23740,6,7563,1000,2
9611,2250,3,2845,0,0
142929,40826,23,2803,0,0
30594,3250,12,5017,0,0
26933,750,6,1299,0,0
34379,13051,20,3805,150,1
8660,0,0,172,0,0
23431,3546,10,6182,0,0
267404,263685,51,6584,3000,6
338656,52908,16,6444,0,0
45050,4875,10,2669,500,1
74579,4600,11,8289,600,8
102669,6760,14,3265,306,2
84633,10771,10,5479,0,0
12221,511,4,3692,0,0
9554,2710,3,5064,0,0
22077,1385,4,3187,0,0
101089,23503,17,5834,0,0
18154,7748,16,5310,0,0
16872,28964,7,5479,0,0
25207,6883,13,3440,0,0
45358,14507,9,5735,0,0
211773,23256,30,2675,0,0
75288,36866,20,2774,0,0
20410,0,0,541,0,0
51745,41377,14,4606,0,0
89413,24667,21,1767,0,0
7015,1150,3,3398,150,2
51592,18678,9,2230,0,0
12088,27292,17,1298,100,1
32323,1250,3,2074,0,0
15221,4425,9,7361,0,0
26561,100,1,4926,0,0
22132,0,0,5150,0,0
53487,0,0,3991,0,0
45150,18907,13,4141,0,0
298505,130647,32,2483,600,2
269558,10000,1,5472,0,0
70927,12011,12,2096,1567,8
109640,66983,38,8296,5500,17
31478,18885,18,6578,0,0
12526,56076,19,7375,3850,11
5410,45890,22,6603,0,0
11162,0,0,4950,0,0
173191,31503,13,6084,0,0
33111,0,0,2461,0,0
42966,7734,6,2840,0,0
45257,3625,7,3417,0,0
25705,0,0,1180,0,0
59017,34746,25,1418,0,0
231,29900,24,7015,5300,15
82352,5760,18,1797,0,0
54309,6772,7,4698,250,1
19627,500,1,3340,500,1
57509,52449,19,5441,150,1
8053,0,0,6750,0,0
265,6000,1,1012,0,0
57793,20959,15,1424,1198,3
12665,4125,24,4539,0,0
14648,21157,12,1843,0,0
95658,5269,18,7584,0,0
18521,1227,2,7917,1227,2
151301,37772,14,7092,0,0
54810,19665,21,2368,0,0
14428,3475,21,1599,0,0
130595,0,0,1677,0,0
1500,0,0,60,0,0
4939,1000,1,2515,0,0
86341,20991,16,3053,0,0
18533,27904,14,2102,0,0
80431,2150,2,5531,150,1
76430,13653,17,3018,0,0
10197,3098,10,723,0,0
99336,14195,14,4453,500,1
238749,7134,14,6297,3134,12
84949,41854,15,5336,0,0
16452,9181,5,2108,0,0
245045,25039,16,4173,500,1
50015,20839,16,4497,50,1
31930,1337,6,3330,267,1
417,3000,1,3670,0,0
81866,10000,4,1591,0,0
2305,0,0,5105,0,0
14106,475,4,5749,0,0
41062,8275,11,3356,0,0
50496,13287,26,4610,0,0
16430,8528,12,6036,0,0
89237,37668,18,2533,0,0
25272,0,0,5189,0,0
157452,45312,18,4471,0,0
70774,32635,31,5931,1400,14
176849,7700,11,6539,950,4
71610,20918,14,4895,0,0
24454,1919,7,732,0,0
5317,0,0,2992,0,0
49514,4500,22,2569,0,0
51653,11052,14,1571,0,0
49145,12755,22,5323,2450,7
23165,5990,15,1678,150,1
72309,41949,20,1735,289,2
18007,33237,15,4665,0,0
53232,80696,65,3831,22100,45
68464,240,3,8296,0,0
65034,14331,16,6541,800,3
38227,8612,13,7036,0,0
14598,625,5,1562,0,0
59424,36600,23,4211,1000,3
42107,3600,4,3607,1000,2
26505,0,0,3102,0,0
35039,174,1,2314,0,0
129412,62510,21,5982,0,0
155385,15267,12,3624,0,0
8957,0,0,4509,0,0
118572,21426,19,5892,0,0
55417,37127,31,3575,0,0
105769,23097,16,7345,0,0
14448,1625,6,6856,0,0
38671,2200,9,5192,1000,5
86345,13415,16,8009,350,2
26334,0,0,2258,0,0
2000,2000,4,6809,2000,4
70518,2000,3,4450,1000,2
95537,29226,17,1774,150,1
10679,13363,12,4001,0,0
67086,18157,16,6974,0,0
23334,0,0,6441,0,0
27669,3219,7,3413,0,0
21855,200,3,5383,0,0
219174,4500,5,4265,2000,4
41176,7624,7,3729,2624,4
46823,5860,12,7613,0,0
20391,90,3,2884,0,0
38061,34227,18,2649,3600,8
49482,33147,23,1255,0,0
3447,1000,1,872,0,0
97606,42980,24,3355,0,0
50715,39211,13,4051,0,0
5500,0,0,989,0,0
15964,0,0,5325,0,0
52713,16273,13,4449,100,1
13543,1443,7,3811,423,2
64385,981,5,1395,0,0
4150,375,3,1424,0,0
5573,1958,17,3714,0,0
15592,37173,13,5209,0,0
22840,0,0,773,0,0
15669,1205,4,8296,0,0
15113,10574,19,7017,0,0
451673,43533,19,7575,900,4
55147,29219,13,4225,0,0
49430,31471,16,5822,0,0
18601,100,1,4888,0,0
68454,13667,12,5559,0,0
124979,14267,14,3720,0,0
2000,0,0,1479,0,0
17575,0,0,8289,0,0
44690,24779,15,2297,1000,2
18047,100,1,7868,0,0
34962,252,3,6208,0,0
91670,48193,17,5365,1000,2
31541,5101,12,3488,0,0
1625,1250,3,1381,0,0
46607,0,0,3727,0,0
14523,4197,4,6276,0,0
51088,0,0,7057,0,0
171509,40090,55,8151,6381,23
10512,0,0,836,0,0
75181,2455,7,6133,1100,3
4858,0,0,3294,0,0
17219,6167,10,2627,3757,6
66052,8380,8,4301,0,0
14345,50752,16,5487,0,0
15439,490,3,5147,0,0
23890,35574,19,5031,0,0
71784,39276,20,4936,0,0
9453,2585,5,3463,0,0
46184,3125,12,7388,500,1
4137,15891,19,5588,0,0
69954,8500,5,1578,500,1
31134,20108,17,5352,0,0
10484,0,0,6375,0,0
4342,0,0,1678,0,0
29105,5000,1,2774,0,0
13381,1150,2,3312,150,1
36861,4642,16,3350,1200,3
53360,7251,5,5120,6251,4
228529,24687,14,4924,500,1
60319,22051,19,817,50,1
31668,1800,3,2271,300,2
26103,13692,18,3151,0,0
415070,153183,41,6423,3802,20
96098,12500,4,7339,0,0
13114,14029,13,6289,0,0
116923,70403,50,1738,0,0
117623,86582,26,6477,1000,6
134650,40232,17,6000,2055,2
9216,340,3,1466,0,0
59385,22914,11,5476,0,0
15876,0,0,4512,0,0
18263,2100,4,7285,1000,2
76446,63811,17,6550,0,0
51402,4375,14,4978,0,0
34412,14734,13,1524,0,0
153962,90992,21,6567,0,0
54116,34997,14,4848,0,0
11782,0,0,5864,0,0
11908,0,0,5240,0,0
16965,2475,13,2182,0,0
145868,61068,18,3925,10042,4
4090,0,0,59,0,0
106234,11160,26,5238,0,0
73811,25394,14,5021,1000,2
13490,0,0,4870,0,0
233656,41941,14,4266,500,1
434,15530,5,3628,0,0
38580,4337,7,2168,0,0
57346,5560,23,6766,0,0
6316,0,0,4149,0,0
24418,12533,13,5626,0,0
60386,24356,14,1785,1565,1
25004,1113,3,4860,0,0
199,0,0,2822,0,0
127807,17086,16,7537,1500,3
47165,4545,4,2992,0,0
22384,0,0,3676,0,0
76077,500,4,4616,0,0
10994,10492,15,2215,0,0
2912,510,1,2132,0,0
1000,0,0,2126,0,0
81380,56524,22,7404,0,0
7845,265,3,3508,0,0
22988,9347,14,5944,1200,4
51890,48963,16,6910,0,0
226826,91660,21,5906,500,1
196079,56890,21,4791,0,0
32988,49484,14,2161,0,0
123646,12450,30,5069,2450,29
77203,66817,16,4646,0,0
12000,5625,34,859,0,0
78268,6172,13,5758,500,1
16472,45517,12,6262,0,0
25279,14938,26,7327,0,0
205651,4025,21,7932,700,4
11021,115,2,2449,0,0
23178,0,0,2351,0,0
152421,17045,20,5510,500,1
203353,14000,13,3557,4000,8
190674,104159,33,3396,4754,15
5450,125,3,687,0,0
14079,6503,16,2999,0,0
41243,27971,7,6483,300,1
114713,7142,18,8296,0,0
16094,0,0,199,0,0
18656,4752,11,968,0,0
8651,41586,22,5882,950,5
75428,7539,14,5609,0,0
2793,8000,3,4588,0,0
24787,1000,1,3930,0,0
105665,31226,13,4727,0,0
19996,500,1,3217,0,0
170632,4650,3,1480,0,0
14957,0,0,2634,0,0
32061,1100,6,5295,0,0
43304,3750,4,1887,250,2
14775,14275,9,1519,0,0
109131,17481,17,3622,150,1
42363,0,0,7120,0,0
46430,2100,4,7194,500,1
49129,16921,18,2692,500,1
7369,0,0,2277,0,0
385195,0,0,4903,0,0
45031,1000,1,5227,0,0
86520,64450,20,6592,1000,2
103240,44627,29,2993,50,1
107360,15641,15,4423,0,0
7430,10500,5,4791,0,0
32377,250,2,3515,250,2
83781,35151,22,2066,200,1
423540,8534,14,7375,2100,9
2214,0,0,2448,0,0
21843,1411,9,3177,0,0
123055,11564,5,2209,1039,2
13958,4291,5,6905,0,0
15584,2875,16,1894,0,0
38739,3050,3,1976,550,2
61956,17500,2,2755,0,0
102083,12978,14,2780,150,2
26256,2000,9,2847,0,0
50909,14830,18,4135,0,0
44331,2850,3,5555,350,1
179472,11289,15,4708,0,0
364387,28200,27,7213,0,0
101464,14610,13,4223,0,0
379744,19191,17,4608,1850,11
285116,8471,18,7406,500,1
94105,100,1,6676,0,0
37904,19052,17,6487,0,0
147128,59991,47,2279,1065,1
107707,19407,25,7024,2211,12
163964,11385,11,5948,0,0
260261,33047,21,8146,0,0
46672,22404,22,2021,0,0
53327,8650,6,6350,650,2
8327,0,0,5268,0,0
47662,100,1,760,100,1
50586,0,0,3902,0,0
29707,300,3,5275,0,0
42040,14189,17,5717,4034,13
48363,790,3,2766,0,0
6345,7719,18,2805,0,0
56954,29409,32,4051,0,0
119180,9275,20,4657,1300,6
5929,168,7,2371,0,0
12091,29271,15,5609,0,0
21285,2375,12,1879,0,0
17587,17587,7,5367,0,0
46926,27889,15,4554,0,0
45883,5647,11,1464,0,0
194949,10121,13,4930,4621,10
69337,17740,13,5667,0,0
119531,60503,43,4002,250,1
153664,55567,17,1881,0,0
99293,81040,23,6508,1000,2
7606,29307,17,2930,0,0
40686,260,2,4177,0,0
103200,500,1,2062,500,1
500,0,0,122,0,0
59445,5500,21,4843,500,2
38429,1004,2,2521,1004,2
13560,0,0,368,0,0
11613,2000,1,6519,0,0
10994,1250,3,8007,0,0
9154,0,0,3260,0,0
11927,4000,15,1188,500,1
7383,7225,11,5238,2750,7
86533,3700,4,3600,700,2
10079,569,8,4651,0,0
83651,14809,18,1914,1997,3
129972,15081,18,3986,500,1
1000,0,0,594,0,0
4350,2100,10,1409,0,0
122700,18604,13,6556,0,0
2000,0,0,165,0,0
111384,26669,14,4505,0,0
2124,2324,2,1487,0,0
91473,27408,17,6903,0,0
33803,6100,34,4079,0,0
192246,3170,5,3083,500,1
355145,61926,29,5288,806,8
22029,2882,14,1597,0,0
4528,290,1,6565,0,0
62121,3602,9,1692,0,0
110893,4653,6,3645,0,0
14513,50,2,1710,0,0
49053,6498,18,8289,950,5
10200,3625,15,1408,0,0
4146,3750,9,5210,0,0
25418,50,1,720,50,1
2119,0,0,2399,0,0
189054,17900,25,3985,7400,23
22414,1094,3,2957,0,0
15064,2910,9,6171,0,0
59763,33772,20,7907,100,1
143967,7346,11,7689,0,0
20390,2500,1,2528,0,0
76737,34648,31,6211,0,0
10036,13959,16,3030,0,0
108395,8598,8,5416,0,0
90332,12845,25,2927,0,0
36296,5780,6,4600,0,0
51471,15505,32,4450,412,1
25685,185,3,6382,0,0
72598,6090,8,2804,1100,1
113183,4200,8,1865,600,5
507506,102279,32,8296,4485,13
15108,2850,16,5876,0,0
23965,7308,16,5003,550,3
18359,0,0,1748,0,0
131992,12504,16,5372,0,0
6280,1220,6,2578,200,2
8780,2750,15,4237,0,0
568,710,3,3053,0,0
196093,14000,3,5595,0,0
222312,29039,17,3721,0,0
14243,6654,17,1487,0,0
25157,830,3,2732,0,0
68286,22831,13,8296,0,0
47056,0,0,2031,0,0
3580,130,3,4730,0,0
53768,4798,16,4387,450,1
120462,10500,9,1503,750,2
44742,2500,1,3217,0,0
32099,10534,6,1929,0,0
19860,1500,5,3281,0,0
78712,0,0,6433,0,0
92843,27650,29,3530,9150,26
59035,245,4,3960,0,0
61584,27937,14,3783,0,0
34170,15476,20,8289,150,1
21839,1375,4,5411,0,0
11463,339,4,1425,0,0
4041,0,0,3344,0,0
100443,12744,21,5492,0,0
5544,350,3,1713,0,0
45842,8253,15,1805,128,1
144973,23703,14,6280,0,0
7108,5598,8,2026,2500,5
268097,26933,25,4105,0,0
140866,15906,17,5672,0,0
43285,745,3,2436,0,0
16626,2500,13,4329,0,0
12868,1875,8,2483,0,0
21270,318,10,6256,0,0
26375,7875,38,1431,0,0
30729,16456,15,3795,0,0
7354,0,0,5050,0,0
31236,2250,13,4523,0,0
110628,63759,13,2654,0,0
7504,0,0,100,0,0
41040,66292,14,3372,200,2
18317,2375,12,2032,0,0
110132,19000,5,3271,0,0
70676,74993,15,7288,0,0
40926,1725,7,2453,0,0
4636,0,0,42,0,0
32991,1230,6,3693,0,0
5570,9094,26,2287,0,0
122164,9944,16,3182,0,0
14776,500,1,6952,0,0
70614,32417,18,3519,0,0
13749,400,4,996,400,4
5425,2000,9,1412,0,0
9492,781,6,2320,250,1
32424,39635,16,1584,0,0
41366,27148,15,4806,0,0
19221,4655,8,7896,500,1
45501,49656,17,6375,316,1
28677,215,3,3699,0,0
137371,4977,6,3447,1977,4
34042,3463,14,1761,250,1
36699,2500,13,2119,0,0
34137,335,5,2593,0,0
46874,9689,38,7990,500,1
38604,625,5,5184,0,0
30273,1720,8,1117,0,0
23390,1650,3,5958,150,1
224081,40108,15,7059,150,2
27532,4639,13,3939,0,0
323273,9000,5,6028,500,1
34584,6962,21,5202,1500,7
103645,3450,3,1374,950,2
213849,500,1,6549,0,0
39759,100,1,3278,100,1
32740,10722,4,2315,0,0
27071,2125,10,2059,0,0
15526,2750,15,2063,0,0
43310,10058,13,1589,0,0
88929,44932,20,5694,650,2
12207,0,0,4565,0,0
